id,name,latitude,longitude,dpcapacity,landmark
217,May St & Fulton St,41.886773,-87.656001,15,197
218,Wells St & 19th St,41.856802,-87.633879,11,180
219,Damen Ave & Cortland St,41.916027,-87.677411,11,133
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19,123
222,Milwaukee Ave & Rockwell St,41.920195,-87.693033,19,242
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,15,185
224,Halsted St & Willow St,41.913778,-87.64884,19,181
225,Halsted St & Dickens Ave,41.919936,-87.64883,15,192
226,Racine Ave & Belmont Ave,41.939743,-87.658865,15,230
227,Southport Ave & Waveland Ave,41.94815,-87.66394,15,235
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,143
229,Southport Ave & Roscoe St,41.943739,-87.66402,19,71
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19,78
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,130
232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,23,273
233,Sangamon St & Washington Blvd,41.883004,-87.651148,15,409
234,Clark St & Montrose Ave,41.961588,-87.666036,19,316
236,Sedgwick St & Schiller St,41.907576,-87.638517,15,410
237,MLK Jr Dr & 29th St,41.842052,-87.617,15,214
238,Ravenswood Ave & Montrose Ave,41.961615,-87.674365,15,92
239,Western Ave & Leland Ave,41.966555,-87.688487,19,112
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,23,63
241,Morgan St & Polk St,41.871737,-87.65103,15,168
242,Damen Ave & Leland Ave,41.967094,-87.679028,15,93
243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15,126
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,87
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,389
246,Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11,249
247,Shore Drive & 55th St,41.795212,-87.580715,19,361
248,Woodlawn Ave & 55th St,41.795264,-87.596471,19,362
249,Montrose Harbor,41.963982,-87.638181,31,388
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,19,269
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,385
252,Greenwood Ave & 47th St,41.809835,-87.599383,15,396
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,104
254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,15,324
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,31,309
256,Broadway & Sheridan Rd,41.952833,-87.649993,15,323
257,Lincoln Ave & Waveland Ave,41.94911,-87.675112,15,253
258,Logan Blvd & Elston Ave,41.930584,-87.685126,19,145
259,California Ave & Francis Pl,41.918121,-87.696972,15,259
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19,85
261,Hermitage Ave & Polk St,41.871514,-87.669886,15,80
262,Halsted St & 37th St,41.827071,-87.645801,11,414
263,Rhodes Ave & 32nd St,41.836208,-87.613533,11,215
264,Stetson Ave & South Water St,41.886835,-87.62232,19,48
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,346
267,Lake Park Ave & 47th St,41.809443,-87.591875,15,117
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,39,328
270,Stony Island Ave & 75th St,41.75866967,-87.58688287,15,498
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582,11,86
272,Indiana Ave & 31st St,41.838842,-87.621857,11,219
273,Michigan Ave & 16th St,41.860204,-87.623355,15,150
274,Racine Ave & 15th St,41.861267,-87.656625,15,304
275,Ashland Ave & 13th St,41.865234,-87.666507,15,354
276,California Ave & North Ave,41.91044,-87.6972,11,258
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,434
278,Wallace St & 35th St,41.830629,-87.64129,15,417
279,Halsted St & 35th St,41.830661,-87.647172,15,413
280,Morgan St & 31st St,41.8378,-87.65114,11,97
281,Western Ave & 24th St,41.84847,-87.685109,15,393
282,Halsted St & Maxwell St,41.86458,-87.64693,15,161
283,LaSalle St & Jackson Blvd,41.87817,-87.631985,31,32
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,23,340
285,Wood St & Grand Ave,41.89113,-87.67203,15,432
286,Franklin St & Quincy St,41.878724,-87.634793,23,7
287,Franklin St & Arcade Pl,41.881469,-87.635177,27,57
288,Larrabee St & Armitage Ave,41.91797,-87.64368,11,184
289,Wells St & Concord Ln,41.912202,-87.634664,19,182
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15,292
291,Wells St & Evergreen Ave,41.906724,-87.63483,19,302
292,Southport Ave & Clark St,41.957081,-87.664199,11,317
